City,Area,Postal Code,Latitude,Longitude
Singapore,West Coast,120381,1.3183435,103.7678211
Singapore,Jurong,608526,1.3300261,103.742675
Singapore,Holland - Bukit Timah,279621,1.3118135,103.7882787
Singapore,Choa Chu Kang,680309,1.3850399,103.7278995
Singapore,Tanjong Pagar,168730,1.2861299,103.8098255
Singapore,Marine Parade,408600,1.3192909,103.8772665
Singapore,Jalan Besar,328127,1.3172849,103.8417744
Singapore,Bishan - Toa Payoh,311125,1.3375269,103.8282215
Singapore,Tampines,528523,1.3529604,103.9381511
Singapore,Pasir Ris - Punggol,545025,1.3925009,103.8768115
Singapore,East Coast,460124,1.3292969,103.9212875
Singapore,Aljunied,538808,1.3741428,103.8743305
Singapore,Sembawang,738991,1.4390278,103.7851349
Singapore,Nee Soon,760234,1.4344069,103.8200635
Singapore,Marsiling - Yew Tee,689286,1.3949439,103.7273175
Singapore,Ang Mo Kio,560723,1.3724018,103.8297525
